ID,Year,Make,Model,Price,Title,URL,MapAndAttrs,PostingBody,ImageFileName
1,2008,Chevrolet,TRAILBLAZER LT1 4X4 LOW MILES,"$10,999",2008 Chevrolet TRAILBLAZER LT1 4X4 LOW MILES,https://washingtondc.craigslist.org/nva/ctd/d/2008-chevrolet-trailblazer-lt1-4x4-low/7825872189.html,"EUCLID AVENUE near LIBERIA AVENUE google map  2008 Chevrolet Trailblazer 1/2 Ton VIN: 1GNET13M882214064 condition: excellent cylinders: 8 cylinders drive: 4wd fuel: gas odometer: 72,000 paint color: grey title status: clean transmission: automatic type: SUV more ads by this seller","Thank you for visiting Best Auto of Manassas, INC!We do our absolute BEST to give you the tools you need to make an informed decision, before purchasing! We make the car buying process as quick and easy as possible! First, we provide you with a free CarFax history report on every vehicle in our inventory. Second, we give you a FREE 90 day / 3,000 mile limited warranty which includes 24/7 roadside assistance at NO EXTRA COST. Finally, we process all your DMV paperwork for you to save YOU time, because TIME IS MONEY!Our prices are firm, please do not contact attempting to negotiate.We accept trade-ins and also buy your vehicle(s). We have financing options availble . While you make your decision, watch some TV and have a cup of tea or coffee in our cozy lobby.So come on by to meet our friendly and knowledgeable staff so you can experience car buying, the way it should be, at Best Auto of Manassas, INC. We are located at 9124 Antique Way Manassas, VA 20110.You will leave with the vehicle you want, but most importantly, you will leave with a smile!Please visit our website (www.bestautova.com) for more pictures and further details. The FREE CarFax is available on every single car's page listing by clicking or tapping ""Show me the CarFax."" Feel free to call our office (703)-367-0402 or text (703)-677-5883 with any questions or if you need assistance.4X4 Anti-Theft System Black Roof Rack Connected Car Cruise Control Curtain Airbags Dual-Zone Climate Control Electronic 4WD Selector Electronic Traction Control Fog Lights Front Bucket Seats On Demand 4WD Power Seats Satellite Radio Stability Control Tire Pressure Monitoring System Trailer Hitch Trailer Wiring Vinyl Steering Wheel",A2008ChevroletTRAILBLAZERL1.jpg
2,2014,Mercedes-Benz,S-Class S550 4MATIC,"$18,995",2014 Mercedes-Benz S-Class S550 4MATIC,https://washingtondc.craigslist.org/mld/ctd/d/rockville-2014-mercedes-benz-class-s550/7825872086.html,"google map  2014 Mercedes-Benz S-Class VIN: WDDUG8FB2EA061104 condition: good cylinders: 8 cylinders drive: 4wd fuel: gas odometer: 95,496 paint color: black title status: clean transmission: automatic type: sedan","Click here to view on dealer's website 2014 Mercedes-Benz S-Class S550 4MATIC - $18,995 Year: 2014 Make:Mercedes-Benz Model:S-Class Trim:S550 4MATIC Mileage:95,496 Stock #:AE00586 VIN:WDDUG8FB2EA061104 Trans:Automatic Color:Black Vehicle Type:Sedan State:MD Drive Train:AWD Engine:4.7L V8 DOHC 24V Notes Vehicle Options Child Safety Door Locks Power Door Locks Vehicle Anti-Theft ABS Brakes Electronic Brake Assistance Traction Control Vehicle Stability Control System Driver Airbag Front Side Airbag Passenger Airbag Side Head Curtain Airbag Second Row Side Airbag Electronic Parking Aid First Aid Kit Keyless Entry Air Conditioning Separate Driver/Front Passenger Climate Controls Cruise Control Tachometer Tilt Steering Tilt Steering Column Leather Steering Wheel Steering Wheel Mounted Controls Telescopic Steering Column Genuine Wood Trim Tire Pressure Monitor Trip Computer CD Changer Navigation Aid Telematics System Driver Multi-Adjustable Power Seat Front Heated Seat Front Power Lumbar Support Front Power Memory Seat Leather Seat Passenger Multi-Adjustable Power Seat Cargo Area Tiedowns Cargo Net Power Sunroof Manual Sunroof Automatic Headlights Daytime Running Lights Fog Lights Power Trunk Lid Alloy Wheels Power Windows Electrochromic Exterior Rearview Mirror Electrochromic Interior Rearview Mirror Rear Window Defogger Prestige Pre-Owned Auto Sales Emad 535 Southlawn Ln STE B-1 Rockville MD 20850 301-348-8801 BatchID: 228RNPBWGZ ID: 22032636",B2014Mercedes-BenzS-ClassS2.jpg
3,2015,Volkswagen,Passat Sport PZEV 5M,"$8,995",2015 Volkswagen Passat Sport PZEV 5M,https://washingtondc.craigslist.org/mld/ctd/d/rockville-2015-volkswagen-passat-sport/7825872079.html,"google map  2015 Volkswagen Passat VIN: 1VWAT7A33FC080038 condition: good cylinders: 4 cylinders drive: fwd fuel: gas odometer: 90,012 paint color: black title status: clean transmission: automatic type: sedan","Click here to view on dealer's website 2015 Volkswagen Passat Sport PZEV 5M - $8,995 Year: 2015 Make:Volkswagen Model:Passat Trim:Sport PZEV 5M Mileage:90,012 Stock #:AE00588 VIN:1VWAT7A33FC080038 Trans:Automatic Color:Black Vehicle Type:Sedan State:MD Drive Train:FWD Engine:1.8L L4 TURBO DIESEL Notes Vehicle Options Child Safety Door Locks Power Door Locks ABS Brakes Electronic Brake Assistance Traction Control Vehicle Stability Control System Driver Airbag Front Side Airbag Passenger Airbag Side Head Curtain Airbag Air Conditioning Cruise Control Tachometer Tilt Steering Tilt Steering Column Leather Steering Wheel Steering Wheel Mounted Controls Telescopic Steering Column Tire Pressure Monitor Trip Computer AM/FM Radio Telematics System Driver Multi-Adjustable Power Seat Second Row Folding Seat Second Row Heated Seat Cargo Area Tiedowns Automatic Headlights Daytime Running Lights Fog Lights Rear Spoiler Alloy Wheels Run Flat Tires Power Windows Interval Wipers Rear Window Defogger Prestige Pre-Owned Auto Sales Emad 535 Southlawn Ln STE B-1 Rockville MD 20850 301-348-8801 BatchID: 228RNPBWGZ ID: 22202196 Updated 2/17/2025 1:24:08 PM EST",C2015VolkswagenPassatSport3.jpg
4,2008,Audi,A5 Coupe,"$5,995",2008 Audi A5 Coupe,https://washingtondc.craigslist.org/mld/ctd/d/rockville-2008-audi-a5-coupe/7825871956.html,"google map  2008 Audi A5 VIN: WAUDK78T28A020479 condition: good cylinders: 6 cylinders drive: 4wd fuel: gas odometer: 128,911 paint color: blue title status: clean transmission: automatic type: coupe","Click here to view on dealer's website 2008 Audi A5 Coupe - $5,995 Year: 2008 Make:Audi Model:A5 Trim:Coupe Mileage:128,911 Stock #:AE00590 VIN:WAUDK78T28A020479 Trans:Automatic Color:Blue Vehicle Type:Coupe State:MD Drive Train:AWD Engine:3.2L V6 DOHC 24V Notes Vehicle Options Power Door Locks Vehicle Anti-Theft 4WD/AWD ABS Brakes Electronic Brake Assistance Limited Slip Differential Locking Differential Vehicle Stability Control System Driver Airbag Front Side Airbag Passenger Airbag Side Head Curtain Airbag Trunk Anti-Trap Device Keyless Entry Air Conditioning Separate Driver/Front Passenger Climate Controls Cruise Control Tachometer Tilt Steering Tilt Steering Column Leather Steering Wheel Steering Wheel Mounted Controls Telescopic Steering Column Genuine Wood Trim Tire Pressure Monitor Trip Computer AM/FM Radio CD Player CD Changer Subwoofer Driver Multi-Adjustable Power Seat Front Power Lumbar Support Leather Seat Passenger Multi-Adjustable Power Seat Cargo Area Tiedowns Power Sunroof Manual Sunroof Automatic Headlights Daytime Running Lights Fog Lights Front Air Dam Rear Spoiler Power Trunk Lid Alloy Wheels Power Windows Power Adjustable Exterior Mirror Interval Wipers Rain Sensing Wipers Rear Window Defogger Prestige Pre-Owned Auto Sales Emad 535 Southlawn Ln STE B-1 Rockville MD 20850 301-348-8801 BatchID: 228RNPBWGZ ID: 22231176",D2008AudiA5CoupeZYXWVUTSRQ4.jpg
5,2021,Nissan,NV200 S,"$10,995",2021 Nissan NV200 S,https://washingtondc.craigslist.org/mld/ctd/d/rockville-2021-nissan-nv200/7825871951.html,"google map  2021 Nissan NV200 VIN: 3N6CM0KN6MK704452 condition: good cylinders: 4 cylinders drive: fwd fuel: gas odometer: 143,133 paint color: white title status: clean transmission: automatic type: van","Click here to view on dealer's website 2021 Nissan NV200 S - $10,995 Year: 2021 Make:Nissan Model:NV200 Trim:S Mileage:143,133 Stock #:AE00589 VIN:3N6CM0KN6MK704452 Trans:Automatic Color:White Vehicle Type:Van-Minivan State:MD Drive Train:FWD Engine:2.0L L4 DOHC 16V Notes Vehicle Options Locking Pickup Truck Tailgate Power Door Locks ABS Brakes Electronic Brake Assistance Traction Control Vehicle Stability Control System Driver Airbag Front Side Airbag Front Side Airbag with Head Protection Passenger Airbag Air Conditioning Separate Driver/Front Passenger Climate Controls Cruise Control Tachometer Tilt Steering Steering Wheel Mounted Controls Tire Pressure Monitor Trip Computer AM/FM Radio Daytime Running Lights Splash Guards Full Size Spare Tire Steel Wheels Power Windows Heated Exterior Mirror Prestige Pre-Owned Auto Sales Emad 535 Southlawn Ln STE B-1 Rockville MD 20850 301-348-8801 BatchID: 228RNPBWGZ ID: 22231159 Updated 2/24/2025 11:13:20 AM EST",E2021NissanNV200SZYXWVUTSR5.jpg
6,2021,Toyota,Sienna Electric LE Minivan Passenger,"$31,428",2021 Toyota Sienna Electric LE Minivan Passenger,https://washingtondc.craigslist.org/nva/ctd/d/annandale-2021-toyota-sienna-electric/7825849141.html,"google map  2021 Toyota Sienna VIN: 5TDKRKEC0MS024623 condition: excellent cylinders: 4 cylinders drive: fwd fuel: hybrid odometer: 62,263 paint color: white title status: clean transmission: automatic type: minivan more ads by this seller","Please Read ° Please Call ° Please Confirm ***As the nation's largest automobile retailer, vehicles are often moved from one dealership to another WITHOUT prior notice. We STRONGLY URGE you to call or email to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, PLEASE don't waste your time by skipping this simple step. 🚗 STOCK NUMBER: MS024623 ☎ PHONE NUMBER: (571) 601-4316 ✉ Email: https://atmxi.com/CL-QsBG *(visit this link) Most common questions about this vehicle: Want to confirm availability and current vehicle location? Would you like to have the most updated Carfax sent to you? We can send specific photos of the vehicle to you. Would you like to request service history and maintenance performed? Do you want to schedule an appointment for a test drive ? Want more information about financing , like rates, terms, and payments? Want to get pre-approved ? Would you like us to reserve or hold this vehicle for you? Want to know more about potential home delivery options? Do you have questions about trading in your vehicle ? Have specific questions about this vehicle that we can answer? Get these Questions answered by calling 📲 (571) 601-4316 OR: VISIT THIS LINK: https://atmxi.com/CL-QsBG Why Buy From Us? 🔑 Well buy your car, no purchase necessary 🔑 Mega selection of over 100,000 new & used vehicles online 🔑 No-hassle financing 🔑 Little to No Money Down in Many Instances 🔑 1Price used vehicles, no haggle, no pressure 🔑 Used vehicle 5-day return policy WE HAVE HELPED PEOPLE WITH THE FOLLOWING: ✔️ Great Credit ✔️ Bad Credit ✔️ No Credit ✔️ No Co-Signer ✔️ First Time Buyers ✔️ Recent Divorce ✔️ Discharged Bankruptcy ✔️ Multiple Repo's ✔️ Short Job Time ✔️ Foreclosure ✔️ Child Support ✔️ Student Loans ✔️ Negative Equity -------------------------------------------------------------- AutoNation ✴ ✴ ✴ America's Largest Automotive Retailer 📲 (571) 601-4316 -------------------------------------------------------------- ⛔ Please Read, Please Call, Please Confirm ⛔ ⚠️ As the nation's largest automobile retailer, vehicles are often moved from one dealership to another WITHOUT prior notice. We STRONGLY URGE you to call or email to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, PLEASE don't waste your time by skipping this simple step. ⚠️ ↪ You can immediately confirm availability of this vehicle by calling 📲 (571) 601-4316 using this stock number: MS024623 VEHICLE SPECIFICATIONS YEAR: 2021 STOCK #: MS024623 MAKE: Toyota MODEL: Sienna VIN: 5TDKRKEC0MS024623 TRIM: LE MILEAGE: 62,263 COLOR: Super White / Graphite BODY: Minivan, Passenger TRANS: Variable AD ID: 9B4C1DFE5056A981 ENGINE: 2.5 L 4 Cyl FUEL: Hybrid DRIVE: FWD MPG: 36 City / 36 Hwy 📲 (571) 601-4316 Stock Number: MS024623 🚗 Subject to prior sale. Call to confirm availability. Visit this link to see more images plus all other inventory we have available: https://atmxi.com/CL-QsBG AutoNation Toyota Leesburg Ask for: Sales Department ☎ (571) 601-4316 Leesburg, VA 20175 Frequently Asked Questions Do I really need to call first, can I just take my chances and hope the vehicle is there? If youre seeing this ad, it is likely that the vehicle IS for sale within the Autonation network. Our intent is to prevent you from showing up after the vehicle has been moved. Give us a call, let us physically touch it and confirm its availability. Well provide the local dealership name and address so that you dont waste your time. This post is almost 30 days old. Surely you don't still have this vehicle, do you? If the post still has a phone number, we almost certainly still have the vehicle at one of your local Autonation dealerships. Simply dial the number above and we'll be happy to point you to the correct store. We may even bring the vehicle to a store near you. You say you help people with less than perfect credit, are you a Buy Here - Pay Here lot? No. We are not a buy here - pay here lot. However, because we are the largest retailer of New and Used vehicles in the U.S. we have access to banks and credit unions that can be a tremendous benefit to extremely challenged credit. Can I really secure financing with zero down payment? Many customers actually take delivery without a checkbook or credit card. While this isn't a possibility in every situation, it is often an option when transacting with an Autonation dealership. Do you take trade-ins? Yes. We need to buy cars from customers every day because of the huge demand in the used vehicle market. It isn't necessary for you to buy a vehicle either. We'd love to purchase your vehicle regardless of age or mileage in most cases. What if I want to trade in my vehicle but still owe more than it's worth. This is another very common situation that usually won't prevent you from trading your vehicle and taking delivery of your next New or PreOwned vehicle. Are you guys really 1price? Won't you negotiate? We've found that every single customer wants our bottom-line best price up front. Imagine going to a dealership and telling them ""don't tell me your best price, instead, keep going back and forth to your manager and waste as much of my time as possible, until we finally find your best price, and then try to guilt me into buying because you spent so much time with me"". If that's actually what you want, you may need help. We put our bottom line lowest price on every pre-owned vehicle and then let you decide if, and when you want to buy it. No pressure. So, I like this vehicle I'm looking at, but I'd rather not talk to anyone yet. What do I do? COPY AND PASTE the link and in this ad, and find the CONTACT US tab on the right side of the Showroom Page. Just ask ""Where might I see this vehicle?"". Someone will respond promptly. I think this vehicle might be the one for me, but I live several hours away. Can I prevent someone else from buying it before I get there? Yes. We have very simple process for this very common situation. Just give us a call. As America's Largest Automotive Retailer we have thousands of other vehicles, including many others that may be identical to this one. Use the link below to view inventory from this and other nearby dealerships. http://atmxi.com/inventory/5075 Description: * 3rd Row Seat * Lane Keeping Assist * T155/80R17 Temporary Spare Tire * Rear Spoiler * 50 State Emissions * Graphite; Fabric Seat Material * Super WhiteThis vehicle includes a Money-Back Guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply.* CLEAN CARFAX * AUTONATION IS A HAGGLE FREE / ONE PRICE DEALERSHIP * WE OFFER OUR BEST PRICE UP FRONT TO ELIMINATE THE STRESS OFTEN ASSOCIATED WITH PURCHASING AT A DEALERSHIP * WE WOULD LIKE TO HELP YOU BUY A CAR * NOT JUST SELL YOU ONE * OFFERED WITH AN INDUSTRY LEADING AUTONATION 125 POINT INSPECTION AND A 90 DAY / 4,000 MILE WARRANTY AND A 5 DAY / NO QUESTIONS ASKED / MONEY BACK GUARANTEE * CALL NOW TO SCHEDULE YOUR TEST DRIVE * AN APPOINTMENT WILL GUARANTEE THE BEST USE OF YOUR VALUABLE TIME AND ENSURE THE BEST POSSIBLE SERVICE. Accessories & color may vary. Dealer not responsible for errors or omissions. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication. Please contact the store by email or phone for details & availability of incentives. Sales tax or other taxes, tag, title, registration fees, government fees, not included. $899 Dealer Processing Fee not included in quoted price. Pre-owned vehicle Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply. Vehicles may have unrepaired safety recalls. You can check recall status by VIN, at www.safercar.gov. Powered by Automoxie.com",F2021ToyotaSiennaElectricL6.jpg
7,2020,Toyota,RAV4 AWD All Wheel Drive RAV 4 LE SUV,"$20,928",2020 Toyota RAV4 AWD All Wheel Drive RAV 4 LE SUV,https://washingtondc.craigslist.org/nva/ctd/d/annandale-2020-toyota-rav4-awd-all/7825848206.html,"google map  2020 Toyota RAV4 VIN: 2T3G1RFVXLW087053 condition: excellent cylinders: 4 cylinders drive: 4wd fuel: gas odometer: 80,672 paint color: black title status: clean transmission: automatic type: SUV more ads by this seller","Please Read ° Please Call ° Please Confirm ***As the nation's largest automobile retailer, vehicles are often moved from one dealership to another WITHOUT prior notice. We STRONGLY URGE you to call or email to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, PLEASE don't waste your time by skipping this simple step. 🚗 STOCK NUMBER: LW087053 ☎ PHONE NUMBER: (571) 601-4316 ✉ Email: https://atmxi.com/CL-QsBF *(visit this link) Most common questions about this vehicle: Want to confirm availability and current vehicle location? Would you like to have the most updated Carfax sent to you? We can send specific photos of the vehicle to you. Would you like to request service history and maintenance performed? Do you want to schedule an appointment for a test drive ? Want more information about financing , like rates, terms, and payments? Want to get pre-approved ? Would you like us to reserve or hold this vehicle for you? Want to know more about potential home delivery options? Do you have questions about trading in your vehicle ? Have specific questions about this vehicle that we can answer? Get these Questions answered by calling 📲 (571) 601-4316 OR: VISIT THIS LINK: https://atmxi.com/CL-QsBF Why Buy From Us? 🔑 Well buy your car, no purchase necessary 🔑 Mega selection of over 100,000 new & used vehicles online 🔑 No-hassle financing 🔑 Little to No Money Down in Many Instances 🔑 1Price used vehicles, no haggle, no pressure 🔑 Used vehicle 5-day return policy WE HAVE HELPED PEOPLE WITH THE FOLLOWING: ✔️ Great Credit ✔️ Bad Credit ✔️ No Credit ✔️ No Co-Signer ✔️ First Time Buyers ✔️ Recent Divorce ✔️ Discharged Bankruptcy ✔️ Multiple Repo's ✔️ Short Job Time ✔️ Foreclosure ✔️ Child Support ✔️ Student Loans ✔️ Negative Equity -------------------------------------------------------------- AutoNation ✴ ✴ ✴ America's Largest Automotive Retailer 📲 (571) 601-4316 -------------------------------------------------------------- ⛔ Please Read, Please Call, Please Confirm ⛔ ⚠️ As the nation's largest automobile retailer, vehicles are often moved from one dealership to another WITHOUT prior notice. We STRONGLY URGE you to call or email to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, PLEASE don't waste your time by skipping this simple step. ⚠️ ↪ You can immediately confirm availability of this vehicle by calling 📲 (571) 601-4316 using this stock number: LW087053 VEHICLE SPECIFICATIONS YEAR: 2020 STOCK #: LW087053 MAKE: Toyota MODEL: RAV4 VIN: 2T3G1RFVXLW087053 TRIM: LE MILEAGE: 80,672 COLOR: Midnight Black Metallic / Black BODY: SUV TRANS: Automatic AD ID: 9B4C1DAA5056A981 ENGINE: 2.5 L 4 Cyl FUEL: Gasoline DRIVE: AWD MPG: 27 City / 34 Hwy 📲 (571) 601-4316 Stock Number: LW087053 🚗 Subject to prior sale. Call to confirm availability. Visit this link to see more images plus all other inventory we have available: https://atmxi.com/CL-QsBF AutoNation Toyota Leesburg Ask for: Sales Department ☎ (571) 601-4316 Leesburg, VA 20175 Frequently Asked Questions Do I really need to call first, can I just take my chances and hope the vehicle is there? If youre seeing this ad, it is likely that the vehicle IS for sale within the Autonation network. Our intent is to prevent you from showing up after the vehicle has been moved. Give us a call, let us physically touch it and confirm its availability. Well provide the local dealership name and address so that you dont waste your time. This post is almost 30 days old. Surely you don't still have this vehicle, do you? If the post still has a phone number, we almost certainly still have the vehicle at one of your local Autonation dealerships. Simply dial the number above and we'll be happy to point you to the correct store. We may even bring the vehicle to a store near you. You say you help people with less than perfect credit, are you a Buy Here - Pay Here lot? No. We are not a buy here - pay here lot. However, because we are the largest retailer of New and Used vehicles in the U.S. we have access to banks and credit unions that can be a tremendous benefit to extremely challenged credit. Can I really secure financing with zero down payment? Many customers actually take delivery without a checkbook or credit card. While this isn't a possibility in every situation, it is often an option when transacting with an Autonation dealership. Do you take trade-ins? Yes. We need to buy cars from customers every day because of the huge demand in the used vehicle market. It isn't necessary for you to buy a vehicle either. We'd love to purchase your vehicle regardless of age or mileage in most cases. What if I want to trade in my vehicle but still owe more than it's worth. This is another very common situation that usually won't prevent you from trading your vehicle and taking delivery of your next New or PreOwned vehicle. Are you guys really 1price? Won't you negotiate? We've found that every single customer wants our bottom-line best price up front. Imagine going to a dealership and telling them ""don't tell me your best price, instead, keep going back and forth to your manager and waste as much of my time as possible, until we finally find your best price, and then try to guilt me into buying because you spent so much time with me"". If that's actually what you want, you may need help. We put our bottom line lowest price on every pre-owned vehicle and then let you decide if, and when you want to buy it. No pressure. So, I like this vehicle I'm looking at, but I'd rather not talk to anyone yet. What do I do? COPY AND PASTE the link and in this ad, and find the CONTACT US tab on the right side of the Showroom Page. Just ask ""Where might I see this vehicle?"". Someone will respond promptly. I think this vehicle might be the one for me, but I live several hours away. Can I prevent someone else from buying it before I get there? Yes. We have very simple process for this very common situation. Just give us a call. As America's Largest Automotive Retailer we have thousands of other vehicles, including many others that may be identical to this one. Use the link below to view inventory from this and other nearby dealerships. http://atmxi.com/inventory/5075 Description: The following items have been reconditioned on this vehicle: new brakes! * Blind Spot Monitor W/Rcta * All Weather Liner Package * Door Edge Guards * Rear Cargo Area Cover * Lane Keeping Assist * Rear Spoiler * 50 State Emissions * Black; Fabric Seat Trim * Midnight Black MetallicThis vehicle includes a Money-Back Guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply.* CLEAN CARFAX * AUTONATION IS A HAGGLE FREE / ONE PRICE DEALERSHIP * WE OFFER OUR BEST PRICE UP FRONT TO ELIMINATE THE STRESS OFTEN ASSOCIATED WITH PURCHASING AT A DEALERSHIP * WE WOULD LIKE TO HELP YOU BUY A CAR * NOT JUST SELL YOU ONE * OFFERED WITH AN INDUSTRY LEADING AUTONATION 125 POINT INSPECTION AND A 90 DAY / 4,000 MILE WARRANTY AND A 5 DAY / NO QUESTIONS ASKED / MONEY BACK GUARANTEE * CALL NOW TO SCHEDULE YOUR TEST DRIVE * AN APPOINTMENT WILL GUARANTEE THE BEST USE OF YOUR VALUABLE TIME AND ENSURE THE BEST POSSIBLE SERVICE. Accessories & color may vary. Dealer not responsible for errors or omissions. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication. Please contact the store by email or phone for details & availability of incentives. Sales tax or other taxes, tag, title, registration fees, government fees, not included. $899 Dealer Processing Fee not included in quoted price. Pre-owned vehicle Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply. Vehicles may have unrepaired safety recalls. You can check recall status by VIN, at www.safercar.gov. Powered by Automoxie.com",G2020ToyotaRAV4AWDAllWheel7.jpg
8,2015,TOYOTA,RAV4 147000 MILLES,"$9,000",2015 TOYOTA RAV4 147000 MILLES,https://washingtondc.craigslist.org/nva/cto/d/falls-church-2015-toyota-rav-milles/7825838123.html,"2015 TOTOYA RAV4 condition: good fuel: gas odometer: 147,500 title status: clean transmission: automatic type: SUV","2015 TOYOTA RAV4 147,500 MILLES GOOD CONDITION!!! ASKING PRICE: $9,000","H2015TOYOTARAV4147,000MILL8.jpg"
9,2009,Hyundai,Sonata (Limited) Sunroof/Leather Heated Seats/4-cylinder,"$4,999",2009 Hyundai Sonata (Limited) Sunroof/Leather Heated Seats/4-cylinder,https://washingtondc.craigslist.org/nva/ctd/d/leesburg-2009-hyundai-sonata-limited/7825836168.html,"809 SOUTH KING STREET google map  2009 Hyundai Sonata VIN: 5NPEU46C99H560974 condition: excellent cylinders: 4 cylinders drive: fwd fuel: gas odometer: 131,762 title status: clean transmission: automatic type: sedan more ads by this seller","Stock#Z3475 For sale: 2009 Hyundai Sonata Limited – a clean, reliable, and budget-friendly sedan that's ready to hit the road! This gas-efficient 4-cylinder model has a strong engine and smooth transmission, both in excellent condition, and it just passed its new Virginia inspection. Equipped with premium features like heated leather seats, and a sunroof, this Sonata offers comfort and style at a great price. With a clean title and priced below book value, this is a fantastic deal for anyone seeking a dependable, affordable car. Don’t miss out on this ready-to-go Sonata! For more info please Copy and Paste below link in your browser https://www.loudounusedcars.com/details/used-2009-hyundai-sonata/108177244 Welcome to Loudoun Used Cars, your premier destination for quality pre-owned vehicles. With two convenient locations—Loudoun Used Cars in Leesburg, VA, and Loudoun Motor Cars in Chantilly, VA—be sure to check the location of the vehicle before visiting either lot. Since our establishment in 2012, we have proudly served customers nationwide, with a strong focus on the DC/MD/VA tri-state area and West Virginia. Our commitment to customer satisfaction is reflected in our nearly five-star rating and the countless happy customers we've served over the years. At Loudoun Used Cars, every vehicle undergoes a thorough inspection by our competent experts to ensure top quality and compliance. We aim to provide our customers with quality vehicles at competitive prices, backed by full technical support tailored to your needs. We also offer third-party warranties upon request for added peace of mind. Visit us at our Leesburg or Chantilly locations to explore our extensive inventory. We welcome walk-ins and scheduled test drives from Monday to Saturday, 11 am to 6 pm, and on Sunday from Noon to 5 pm. Please note that listed vehicle prices do not include title, tax, registration, license, a $599 processing fee, or finance charges. Financing options are available with terms and conditions that apply. Whether you're looking to trade in your current vehicle or purchase a pre-owned car, rest assured that we always offer fair book values and strive for a transparent transaction. For more information or to schedule a visit, please contact us at 571-918-0033 (work) or 571-276-0137 (text). Experience the difference at Loudoun Used Cars and Loudoun Motor Cars today.",I2009HyundaiSonata(Limited9.jpg
10,2015,Chevrolet,Trax,"$9,500",2015 Chevrolet Trax,https://washingtondc.craigslist.org/nva/cto/d/ashburn-2015-chevrolet-trax/7825835098.html,"2015 Chevrolet Trax condition: good drive: 4wd fuel: gas odometer: 120,000 paint color: grey title status: clean transmission: automatic type: SUV delivery available",2015 Chevrolet Trax in good condition. Bought a new car. Willing to negotiate.,J2015ChevroletTraxZYXWVUTS10.jpg
