id,year,make,model,price,title,carAttrs,bodyText,imageName
1,2008,Chevrolet,TRAILBLAZER LT1 4X4 LOW MILES,"$10,999",2008 Chevrolet TRAILBLAZER LT1 4X4 LOW MILES,"EUCLID AVENUE near LIBERIA AVENUE google map  2008 Chevrolet Trailblazer 1/2 Ton VIN: 1GNET13M882214064 condition: excellent cylinders: 8 cylinders drive: 4wd fuel: gas odometer: 72,000 paint color: grey title status: clean transmission: automatic type: SUV more ads by this seller","Thank you for visiting best auto of manassas, inc!We do our absolute best to give you the tools you need to make an informed decision, before purchasing! We make the car buying process as quick and easy as possible! First, we provide you with a free CarFax history report on every vehicle in our inventory. Second, we give you a free 90 day / 3,000 mile limited warranty which includes 24/7 roadside assistance at NO extra cost. Finally, we process all your dmv paperwork for you to save you time, because time IS money!Our prices are firm, please do not contact attempting to negotiate.We accept trade-ins and also buy your vehicle(s). We have financing options availble . While you make your decision, watch some TV and have a cup of tea or coffee in our cozy lobby.So come on by to meet our friendly and knowledgeable staff so you can experience car buying, the way it should be, at best auto of manassas, inc. ,20110.You will leave with the vehicle you want, but most importantly, you will leave with a smile!Please visit our ( for more pictures and further details. The free CarFax is available on every single car's page listing by clicking or tapping ""Show me the CarFax."" feel free to call our office or text with any questions or if you need assistance.4X4 Anti-Theft system black roof rack connected car cruise control curtain airbags Dual-Zone climate control electronic 4WD selector electronic traction control fog lights front bucket seats on demand 4WD power seats satellite radio stability control tire pressure monitoring system trailer hitch trailer wiring vinyl steering wheel",A2008ChevroletTRAILBLAZERL1.jpg
2,2014,Mercedes-Benz,S-Class S550 4MATIC,"$18,995",2014 Mercedes-Benz S-Class S550 4MATIC,"google map  2014 Mercedes-Benz S-Class VIN: WDDUG8FB2EA061104 condition: good cylinders: 8 cylinders drive: 4wd fuel: gas odometer: 95,496 paint color: black title status: clean transmission: automatic type: sedan","To on 2014 Mercedes-Benz S-Class S550 4MATIC - year: 2014 Make:Mercedes-Benz Model:S-Class Trim:S550 4MATIC mileage:95,496 stock #:AE00586 vin:WDDUG8FB2EA061104 Trans:Automatic Color:Black vehicle Type:Sedan State:MD drive train:awd Engine:4.7L V8 dohc 24V notes vehicle options child safety door locks power door locks vehicle Anti-Theft abs brakes electronic brake assistance traction control vehicle stability control system driver airbag front side airbag passenger airbag side head curtain airbag second row side airbag electronic parking aid first aid kit keyless entry air conditioning separate Driver/Front passenger climate controls cruise control tachometer tilt steering tilt steering column leather steering wheel steering wheel mounted controls telescopic steering column genuine wood trim tire pressure monitor trip computer CD changer navigation aid telematics system driver Multi-Adjustable power seat front heated seat front power lumbar support front power memory seat leather seat passenger Multi-Adjustable power seat cargo area tiedowns cargo net power sunroof manual sunroof automatic headlights daytime running lights fog lights power trunk lid alloy wheels power windows electrochromic exterior rearview mirror electrochromic interior rearview mirror rear window defogger prestige Pre-Owned auto sales emad -1 rockville20850 BatchID: 228RNPBWGZ ID: 6",B2014Mercedes-BenzS-ClassS2.jpg
3,2015,Volkswagen,Passat Sport PZEV 5M,"$8,995",2015 Volkswagen Passat Sport PZEV 5M,"google map  2015 Volkswagen Passat VIN: 1VWAT7A33FC080038 condition: good cylinders: 4 cylinders drive: fwd fuel: gas odometer: 90,012 paint color: black title status: clean transmission: automatic type: sedan","To on 2015 volkswagen passat sport pzev 5M - year: 2015 Make:Volkswagen Model:Passat Trim:Sport pzev 5M mileage:90,012 stock #:AE00588 vin:1VWAT7A33FC080038 Trans:Automatic Color:Black vehicle Type:Sedan State:MD drive train:fwd Engine:1.8L L4 turbo diesel notes vehicle options child safety door locks power door locks abs brakes electronic brake assistance traction control vehicle stability control system driver airbag front side airbag passenger airbag side head curtain airbag air conditioning cruise control tachometer tilt steering tilt steering column leather steering wheel steering wheel mounted controls telescopic steering column tire pressure monitor trip computer AM/FM radio telematics system driver Multi-Adjustable power seat second row folding seat second row heated seat cargo area tiedowns automatic headlights daytime running lights fog lights rear spoiler alloy wheels run flat tires power windows interval wipers rear window defogger prestige Pre-Owned auto sales emad -1 rockville20850 BatchID: 228RNPBWGZ ID: 6 updated est",C2015VolkswagenPassatSport3.jpg
4,2008,Audi,A5 Coupe,"$5,995",2008 Audi A5 Coupe,"google map  2008 Audi A5 VIN: WAUDK78T28A020479 condition: good cylinders: 6 cylinders drive: 4wd fuel: gas odometer: 128,911 paint color: blue title status: clean transmission: automatic type: coupe","To on 2008 audi A5 coupe - year: 2008 Make:Audi Model:A5 Trim:Coupe mileage:128,911 stock #:AE00590 vin:WAUDK78T28A020479 Trans:Automatic Color:Blue vehicle Type:Coupe State:MD drive train:awd Engine:3.2L V6 dohc 24V notes vehicle options power door locks vehicle Anti-Theft 4WD/awd abs brakes electronic brake assistance limited slip differential locking differential vehicle stability control system driver airbag front side airbag passenger airbag side head curtain airbag trunk Anti-Trap device keyless entry air conditioning separate Driver/Front passenger climate controls cruise control tachometer tilt steering tilt steering column leather steering wheel steering wheel mounted controls telescopic steering column genuine wood trim tire pressure monitor trip computer AM/FM radio CD player CD changer subwoofer driver Multi-Adjustable power seat front power lumbar support leather seat passenger Multi-Adjustable power seat cargo area tiedowns power sunroof manual sunroof automatic headlights daytime running lights fog lights front air dam rear spoiler power trunk lid alloy wheels power windows power adjustable exterior mirror interval wipers rain sensing wipers rear window defogger prestige Pre-Owned auto sales emad -1 rockville20850 BatchID: 228RNPBWGZ ID: 6",D2008AudiA5CoupeZYXWVUTSRQ4.jpg
5,2021,Nissan,NV200 S,"$10,995",2021 Nissan NV200 S,"google map  2021 Nissan NV200 VIN: 3N6CM0KN6MK704452 condition: good cylinders: 4 cylinders drive: fwd fuel: gas odometer: 143,133 paint color: white title status: clean transmission: automatic type: van","To on 2021 nissan NV200 S - year: 2021 Make:Nissan Model:NV200 Trim:S mileage:143,133 stock #:AE00589 vin:3N6CM0KN6MK704452 Trans:Automatic Color:White vehicle Type:Van-Minivan State:MD drive train:fwd Engine:2.0L L4 dohc 16V notes vehicle options locking pickup truck tailgate power door locks abs brakes electronic brake assistance traction control vehicle stability control system driver airbag front side airbag front side airbag with head protection passenger airbag air conditioning separate Driver/Front passenger climate controls cruise control tachometer tilt steering steering wheel mounted controls tire pressure monitor trip computer AM/FM radio daytime running lights splash guards full size spare tire steel wheels power windows heated exterior mirror prestige Pre-Owned auto sales emad -1 rockville20850 BatchID: 228RNPBWGZ ID: 9 updated est",E2021NissanNV200SZYXWVUTSR5.jpg
6,2021,Toyota,Sienna Electric LE Minivan Passenger,"$31,428",2021 Toyota Sienna Electric LE Minivan Passenger,"google map  2021 Toyota Sienna VIN: 5TDKRKEC0MS024623 condition: excellent cylinders: 4 cylinders drive: fwd fuel: hybrid odometer: 62,263 paint color: white title status: clean transmission: automatic type: minivan more ads by this seller","Please read please call please confirm ***As the nation's largest automobile retailer, vehicles are often moved from one dealership to another without prior notice. We strongly urge you to call or to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, please don't waste your time by skipping this simple step. stock number: MS024623 number: : *() most common questions about this vehicle: want to confirm availability and current vehicle ? Would you like to have the most updated carfax sent to you? We can send specific photos of the vehicle to you. Would you like to request service history and maintenance performed? Do you want to schedule an appointment for a test drive ? Want more information about financing , like rates, terms, and payments? Want to get pre-approved ? Would you like us to reserve or hold this vehicle for you? Want to know more about potential home delivery options? Do you have questions about trading in your vehicle ? Have specific questions about this vehicle that we can answer? Get these questions answered by calling OR: : why buy from us? Well buy your car, no purchase necessary mega selection of over 100,000 new & used vehicles online no-hassle financing little to no money down in many instances 1Price used vehicles, no haggle, no pressure used vehicle 5-day return policy WE have helped people with the following: great credit bad credit no credit no Co-Signer first time buyers recent divorce discharged bankruptcy multiple repo's short job time foreclosure child support student loans negative equity -------------------------------------------------------------- AutoNation america's largest automotive retailer -------------------------------------------------------------- please read, please call, please confirm as the nation's largest automobile retailer, vehicles are often moved from one dealership to another without prior notice. We strongly urge you to call or to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, please don't waste your time by skipping this simple step. You can immediately confirm availability of this vehicle by calling using this stock number: MS024623 vehicle specifications year: 2021 stock #: MS024623 make: toyota model: sienna vin: 5TDKRKEC0MS024623 trim: LE mileage: 62,263 color: super white / graphite body: minivan, passenger trans: variable AD ID: 9B4C1DFE5056A981 engine: 2.5 L 4 cyl fuel: hybrid drive: fwd mpg: 36 city / 36 hwy stock number: MS024623 subject to prior sale. Call to confirm availability. to see more images plus all other inventory we have available: AutoNation toyota leesburg ask for: sales department 20175 frequently asked questions do I really need to call first, can I just take my chances and hope the vehicle is there? If youre seeing this ad, it is likely that the vehicle IS for sale within the autonation network. Our intent is to prevent you from showing up after the vehicle has been moved. Give us a call, let us physically touch it and confirm its availability. Well provide the local dealership name and address so that you dont waste your time. This post is almost 30 days old. Surely you don't still have this vehicle, do you? If the post still has a number, we almost certainly still have the vehicle at one of your local autonation dealerships. Simply dial the number above and we'll be happy to point you to the correct store. We may even bring the vehicle to a store near you. You say you help people with less than perfect credit, are you a buy here - pay here lot? No. We are not a buy here - pay here lot. However, because we are the largest retailer of new and used vehicles in the U.S. we have access to banks and credit unions that can be a tremendous benefit to extremely challenged credit. Can I really secure financing with zero down payment? Many customers actually take delivery without a checkbook or credit card. While this isn't a possibility in every situation, it is often an option when transacting with an autonation dealership. Do you take trade-ins? Yes. We need to buy cars from customers every day because of the huge demand in the used vehicle market. It isn't necessary for you to buy a vehicle either. We'd love to purchase your vehicle regardless of age or mileage in most cases. What if I want to trade in my vehicle but still owe more than it's worth. This is another very common situation that usually won't prevent you from trading your vehicle and taking delivery of your next new or PreOwned vehicle. Are you guys really 1price? Won't you negotiate? We've found that every single customer wants our bottom-line best price up front. Imagine going to a dealership and telling them ""don't tell me your best price, instead, keep going back and forth to your manager and waste as much of my time as possible, until we finally find your best price, and then try to guilt me into buying because you spent so much time with me"". If that's actually what you want, you may need help. We put our bottom line lowest price on every pre-owned vehicle and then let you decide if, and when you want to buy it. No pressure. So, I like this vehicle i'm looking at, but i'd rather not talk to anyone yet. What do I do? copy and paste the link and in this ad, and find the contact US tab on the right side of the showroom page. Just ask ""Where might I see this vehicle?"". Someone will respond promptly. I think this vehicle might be the one for me, but I live several hours away. Can I prevent someone else from buying it before I get there? Yes. We have very simple process for this very common situation. Just give us a call. As america's largest automotive retailer we have thousands of other vehicles, including many others that may be identical to this one. Use the link below to inventory from this and other nearby dealerships. Description: * 3rd row seat * lane keeping assist * T155/80R17 temporary spare tire * rear spoiler * 50 state emissions * graphite; fabric seat material * super WhiteThis vehicle includes a Money-Back guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply.* clean carfax * autonation IS A haggle free / one price dealership * WE offer our best price UP front TO eliminate the stress often associated with purchasing AT A dealership * WE would like TO help you buy A car * not just sell you one * offered with AN industry leading autonation 125 point inspection and A 90 day / 4,000 mile warranty and A 5 day / NO questions asked / money back guarantee * call now TO schedule your test drive * AN appointment will guarantee the best use OF your valuable time and ensure the best possible service. Accessories & color may vary. Dealer not responsible for errors or omissions. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication. Please contact the store by or for details & availability of incentives. Sales tax or other taxes, tag, title, registration , government , not included. Dealer not included in quoted price. Pre-owned vehicle Money-Back guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply. Vehicles may have unrepaired safety recalls. You can check recall status by vin, at powered by automoxie.com",F2021ToyotaSiennaElectricL6.jpg
7,2020,Toyota,RAV4 AWD All Wheel Drive RAV 4 LE SUV,"$20,928",2020 Toyota RAV4 AWD All Wheel Drive RAV 4 LE SUV,"google map  2020 Toyota RAV4 VIN: 2T3G1RFVXLW087053 condition: excellent cylinders: 4 cylinders drive: 4wd fuel: gas odometer: 80,672 paint color: black title status: clean transmission: automatic type: SUV more ads by this seller","Please read please call please confirm ***As the nation's largest automobile retailer, vehicles are often moved from one dealership to another without prior notice. We strongly urge you to call or to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, please don't waste your time by skipping this simple step. stock number: LW087053 number: : *() most common questions about this vehicle: want to confirm availability and current vehicle ? Would you like to have the most updated carfax sent to you? We can send specific photos of the vehicle to you. Would you like to request service history and maintenance performed? Do you want to schedule an appointment for a test drive ? Want more information about financing , like rates, terms, and payments? Want to get pre-approved ? Would you like us to reserve or hold this vehicle for you? Want to know more about potential home delivery options? Do you have questions about trading in your vehicle ? Have specific questions about this vehicle that we can answer? Get these questions answered by calling OR: : why buy from us? Well buy your car, no purchase necessary mega selection of over 100,000 new & used vehicles online no-hassle financing little to no money down in many instances 1Price used vehicles, no haggle, no pressure used vehicle 5-day return policy WE have helped people with the following: great credit bad credit no credit no Co-Signer first time buyers recent divorce discharged bankruptcy multiple repo's short job time foreclosure child support student loans negative equity -------------------------------------------------------------- AutoNation america's largest automotive retailer -------------------------------------------------------------- please read, please call, please confirm as the nation's largest automobile retailer, vehicles are often moved from one dealership to another without prior notice. We strongly urge you to call or to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, please don't waste your time by skipping this simple step. You can immediately confirm availability of this vehicle by calling using this stock number: LW087053 vehicle specifications year: 2020 stock #: LW087053 make: toyota model: RAV4 vin: 2T3G1RFVXLW087053 trim: LE mileage: 80,672 color: midnight black metallic / black body: suv trans: automatic AD ID: 9B4C1DAA5056A981 engine: 2.5 L 4 cyl fuel: gasoline drive: awd mpg: 27 city / 34 hwy stock number: LW087053 subject to prior sale. Call to confirm availability. to see more images plus all other inventory we have available: AutoNation toyota leesburg ask for: sales department 20175 frequently asked questions do I really need to call first, can I just take my chances and hope the vehicle is there? If youre seeing this ad, it is likely that the vehicle IS for sale within the autonation network. Our intent is to prevent you from showing up after the vehicle has been moved. Give us a call, let us physically touch it and confirm its availability. Well provide the local dealership name and address so that you dont waste your time. This post is almost 30 days old. Surely you don't still have this vehicle, do you? If the post still has a number, we almost certainly still have the vehicle at one of your local autonation dealerships. Simply dial the number above and we'll be happy to point you to the correct store. We may even bring the vehicle to a store near you. You say you help people with less than perfect credit, are you a buy here - pay here lot? No. We are not a buy here - pay here lot. However, because we are the largest retailer of new and used vehicles in the U.S. we have access to banks and credit unions that can be a tremendous benefit to extremely challenged credit. Can I really secure financing with zero down payment? Many customers actually take delivery without a checkbook or credit card. While this isn't a possibility in every situation, it is often an option when transacting with an autonation dealership. Do you take trade-ins? Yes. We need to buy cars from customers every day because of the huge demand in the used vehicle market. It isn't necessary for you to buy a vehicle either. We'd love to purchase your vehicle regardless of age or mileage in most cases. What if I want to trade in my vehicle but still owe more than it's worth. This is another very common situation that usually won't prevent you from trading your vehicle and taking delivery of your next new or PreOwned vehicle. Are you guys really 1price? Won't you negotiate? We've found that every single customer wants our bottom-line best price up front. Imagine going to a dealership and telling them ""don't tell me your best price, instead, keep going back and forth to your manager and waste as much of my time as possible, until we finally find your best price, and then try to guilt me into buying because you spent so much time with me"". If that's actually what you want, you may need help. We put our bottom line lowest price on every pre-owned vehicle and then let you decide if, and when you want to buy it. No pressure. So, I like this vehicle i'm looking at, but i'd rather not talk to anyone yet. What do I do? copy and paste the link and in this ad, and find the contact US tab on the right side of the showroom page. Just ask ""Where might I see this vehicle?"". Someone will respond promptly. I think this vehicle might be the one for me, but I live several hours away. Can I prevent someone else from buying it before I get there? Yes. We have very simple process for this very common situation. Just give us a call. As america's largest automotive retailer we have thousands of other vehicles, including many others that may be identical to this one. Use the link below to inventory from this and other nearby dealerships. Description: the following items have been reconditioned on this vehicle: new brakes! * blind spot monitor W/Rcta * all weather liner package * door edge guards * rear cargo area cover * lane keeping assist * rear spoiler * 50 state emissions * black; fabric seat trim * midnight black MetallicThis vehicle includes a Money-Back guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply.* clean carfax * autonation IS A haggle free / one price dealership * WE offer our best price UP front TO eliminate the stress often associated with purchasing AT A dealership * WE would like TO help you buy A car * not just sell you one * offered with AN industry leading autonation 125 point inspection and A 90 day / 4,000 mile warranty and A 5 day / NO questions asked / money back guarantee * call now TO schedule your test drive * AN appointment will guarantee the best use OF your valuable time and ensure the best possible service. Accessories & color may vary. Dealer not responsible for errors or omissions. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication. Please contact the store by or for details & availability of incentives. Sales tax or other taxes, tag, title, registration , government , not included. Dealer not included in quoted price. Pre-owned vehicle Money-Back guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply. Vehicles may have unrepaired safety recalls. You can check recall status by vin, at powered by automoxie.com",G2020ToyotaRAV4AWDAllWheel7.jpg
8,2015,TOYOTA,RAV4 147000 MILLES,"$9,000",2015 TOYOTA RAV4 147000 MILLES,"2015 TOTOYA RAV4 condition: good fuel: gas odometer: 147,500 title status: clean transmission: automatic type: SUV","2015 toyota RAV4 147,500 milles good condition!!! asking price:","H2015TOYOTARAV4147,000MILL8.jpg"
9,2009,Hyundai,Sonata (Limited) Sunroof/Leather Heated Seats/4-cylinder,"$4,999",2009 Hyundai Sonata (Limited) Sunroof/Leather Heated Seats/4-cylinder,"809 SOUTH KING STREET google map  2009 Hyundai Sonata VIN: 5NPEU46C99H560974 condition: excellent cylinders: 4 cylinders drive: fwd fuel: gas odometer: 131,762 title status: clean transmission: automatic type: sedan more ads by this seller","Stock#Z3475 for sale: 2009 hyundai sonata limited a clean, reliable, and budget-friendly sedan that's ready to hit the road! This gas-efficient 4-cylinder model has a strong engine and smooth transmission, both in excellent condition, and it just passed its new virginia inspection. Equipped with premium features like heated leather seats, and a sunroof, this sonata offers comfort and style at a great price. With a clean title and priced below book value, this is a fantastic deal for anyone seeking a dependable, affordable car. Dont miss out on this ready-to-go sonata! For more info please copy and paste below link in your browser welcome to loudoun used cars, your premier destination for quality pre-owned vehicles. With two convenient loudoun used cars in , and loudoun motor cars in be sure to check the of the vehicle before visiting either lot. Since our establishment in 2012, we have proudly served customers nationwide, with a strong focus on the DC/MD/VA tri-state area and west virginia. Our commitment to customer satisfaction is reflected in our nearly five-star rating and the countless happy customers we've served over the years. At loudoun used cars, every vehicle undergoes a thorough inspection by our competent experts to ensure top quality and compliance. We aim to provide our customers with quality vehicles at competitive prices, backed by full technical support tailored to your needs. We also offer third-party warranties upon request for added peace of mind. Visit us at our leesburg or chantilly to explore our extensive inventory. We welcome walk-ins and scheduled test drives from monday to saturday, 11 am to 6 pm, and on sunday from noon to 5 pm. Please note that listed vehicle prices do not include title, tax, registration, license, a , or finance charges. Financing options are available with terms and conditions that apply. Whether you're looking to trade in your current vehicle or purchase a pre-owned car, rest assured that we always offer fair book values and strive for a transparent transaction. For more information or to schedule a visit, please contact us at (work) or (text). Experience the difference at loudoun used cars and loudoun motor cars today.",I2009HyundaiSonata(Limited9.jpg
10,2015,Chevrolet,Trax,"$9,500",2015 Chevrolet Trax,"2015 Chevrolet Trax condition: good drive: 4wd fuel: gas odometer: 120,000 paint color: grey title status: clean transmission: automatic type: SUV delivery available",2015 chevrolet trax in good condition. Bought a new car. Willing to negotiate.,J2015ChevroletTraxZYXWVUTS10.jpg
