ID,Title,Price,URL,MapAndAttrs,PostingBody,ImageCount,ImageFileName
item_9988,2006 Jeep LJ LJR TJ Unlimited Rubicon,"$35,000",https://washingtondc.craigslist.org/nva/cto/d/gainesville-2006-jeep-lj-ljr-tj/7822750586.html,"2006 jeep wrangler unlimited condition: good cylinders: 6 cylinders drive: 4wd fuel: gas odometer: 38,600 paint color: green title status: clean transmission: automatic type: offroad","2006 Jeep TJ Unlimited Rubicon LJ LJR Color: Jeep Green Miles: 38,600 Job change forces reluctant sale of this amazing and ultra rare LJ Rubicon. Includes onboard air, WARN bumpers and XD9000i winch, full Rubicon Express long arm kit with Rock Jock springs, and NIB Fox shocks! Frame and body/tub have ZERO rust. This rig has been a dedicated trail monster it's entire life by one previous owner in Durango Colorado... Body has tree stripes and there's some missing paint on the hardtop as shown. There are a few small dings, etc., but if you wanted to do paint correction it should clean up nicely. This is no poser mall crawler! It's an automatic, with 4:88 gears, running Jeep OEM 35” KO2 tires and 392 XR beadlock capable wheels that are in as new condition. Way too much to list, but has Rock Hard 4x4 bolt-in sport cage, hard and soft tops, hard top lift, NIB tube doors, ALL removed Rubicon bits (MOAB wheels, sliders, fenders), rare Insta-trunk, JW Speaker LED headlights, camo seat covers over perfect seats and beautiful carpet / interior, Bushwacker fenders, Curry Currectlync steering, ORO SwayLOC, and much more. Includes many spare parts, and a few summer projects like a ready to install upgraded factory rear view mirror with compass, temp, and courtesy lights. Was planning to finish all the projects and sorting by Spring to go wheeling but unfortunately I had to change jobs so I'm back to needing a daily driver. Please no tire kickers/time wasters, or low ball offers. Have your funds in order and ask permission first. :-) If you're not sure what you're looking at this Jeep is likely not for you. If the ad is up --- ""yes"" it's still available so no need to ask. Seriously for sale at $35k OBO. Thanks for looking!",1,2006 Jeep LJ LJR TJ Unlimited Rubicon_item_9988_0.jpg
item_2085,VAN FOR SALE,"$8,000",https://washingtondc.craigslist.org/mld/cto/d/hyattsville-van-for-sale/7822748387.html,"Galatin near Hamilton 2012 FORD ECOLINE condition: good cylinders: 4 cylinders drive: fwd fuel: gas odometer: 98,000 paint color: white title status: clean transmission: automatic type: van",4 SALE WHITE 2012 FORD ECOLINE 250 98k MILES $8000 OR BEST OFFER. CERTIFIED CHECKS ONLY. DRIVES WELL. LOOKING TO SELL ASAP. CLEAN TITLE.,1,VAN FOR SALE_item_2085_0.jpg
item_8205,For Sale: 2006 Mercury Grand Marquis – Classic Luxury & Comfort!,"$8,600",https://washingtondc.craigslist.org/nva/cto/d/fairfax-for-sale-2006-mercury-grand/7822732560.html,"2006 mercury grand marquis condition: excellent cylinders: 4 cylinders drive: rwd fuel: gas odometer: 144,000 paint color: silver title status: clean transmission: automatic","For Sale: Beautiful 2006 Mercury Grand Marquis – Classic Luxury & Comfort! Only 144,000 miles, Beautiful inside and out! Looking for a reliable, smooth-riding, and spacious full-size sedan? This Pristine 2006 Mercury Grand Marquis is a well-maintained gem, offering timeless luxury, durability, and a powerful V8 engine. Only 2 owners, well taken care of garage kept. Engine & Performance: 4.6L V8 engine providing a smooth, powerful ride Mileage: 144,000 – Runs strong with plenty of life left! Exterior: Clean– Classic, well-kept body with minimal wear Interior: Plush leather seats with ample legroom for ultimate comfort Comfort & Convenience: Power windows, power seats, dual climate control, cruise control Safety Features: ABS brakes, dual front airbags, traction control for a secure drive Ride Quality: Renowned for its smooth suspension and quiet cabin! Beautiful car, ready to go to a new owner. Title: Clean title in hand! Serious buyers only! Asking near value $8,600 open to offers near asking price.",1,For Sale 2006 Mercury Grand Marquis – Classic Luxu_item_8205_0.jpg
item_9130,2014 Honda Accord Sport Sedan CVT,"$13,995$450/mo",https://washingtondc.craigslist.org/nva/ctd/d/manassas-2014-honda-accord-sport-sedan/7822720795.html,"7216 CENTREVILLE RD. 2014 Honda Accord Sport VIN: 1HGCR2F56EA259208 condition: excellent cylinders: 4 cylinders drive: fwd est. monthly pmt: $450 fuel: gas odometer: 111,000 paint color: grey title status: clean transmission: automatic type: sedan more ads by this seller","Offered by: Commercial Auto and Trucks -- (703)330-6926 Commercial Auto and Trucks Mileage: 111000 Condition: Used Engine: 2.4L/V4 Transmission: Automatic Drivetrain: FWD Fuel: Gasoline Exterior Color: Gray Interior Color: Black Stock#: 880 WE DO IN HOUSE FINANCING *** BUY HERE PAY HERE ***, ASK FOR DETAILS (703)330-6926. WE ARE LOCATED AT 7216 CENTREVILLE RD MANASSAS VA 20111. OPEN 7 DAYS A WEEK. THERE IS NOT ANY FREIGHT OR DESTINATION CHARGES ON ANY VEHICLE. BUY OR SELL YOUR VEHICLE HERE. ALL VEHICLES ARE VIRGINIA INSPECTED AND COMES WITH 3 MONTHS /3000 MILES NATIONWIDE POWER TRAIN WARRANTY WITH FULL PURCHASE PRICE ON CASH DEALS ONLY (CERTAIN VEHICLES ARE EXCLUDED, CALL FOR DETAILS). WE ARE OPEN MON. - SAT. 10:00AM - 7:00PM AND SUN. 11:00AM - 5:00PM. AUTOCHECK REPORT IS AVAILABLE ON EVERY VEHICLE AT NO CHARGE. PRICE EXCLUDES PROCESSING FEE OF $699. *** COMMERCIAL AUTO AND TRUCKS IS NOT RESPONSIBLE FOR ANY MISPRINT ON FEATURES, EQUIPMENT, PRICE, AND ETC.*** VISIT COMMERCIAL AUTO AND TRUCKS ONLINE AT WWW.CATVA1.COM TO SEE MORE PICTURES OF THIS VEHICLE OR CALL US AT (703)330-6926 TODAY TO SCHEDULE YOUR TEST DRIVE. COMMERCIAL AUTO AND TRUCKS 7216 CENTREVILLE RD. MANASSAS VA 20111 (703)330-6926 WWW.CATVA1.COM",1,2014 Honda Accord Sport Sedan CVT_item_9130_0.jpg
item_5334,2016 Hyundai Sonata SE Excellent,"$8,900",https://washingtondc.craigslist.org/nva/cto/d/sterling-2016-hyundai-sonata-se/7822713121.html,"2016 hyundai sonata se condition: excellent cylinders: 5 cylinders drive: rwd fuel: gas odometer: 109,000 paint color: black title status: clean transmission: other type: sedan","I am selling my 2016 Hyundai Sonata SE Black clean Title, with no any issue, New Virginia Inspection and Emission. Run perfect with great Tires, for just $8900, Call me please 732500 three Two 94 thank you",1,2016 Hyundai Sonata SE Excellent_item_5334_0.jpg
item_9703,2018 Chevrolet Express 2500 Cargo Van,"$26,995$700/mo",https://washingtondc.craigslist.org/nva/ctd/d/manassas-2018-chevrolet-express-2500/7822693250.html,"7216 CENTREVILLE RD. 2018 chevrolet express 2500 cargo van VIN: 1GCWGAFP5J1285323 condition: excellent cylinders: 6 cylinders drive: rwd est. monthly pmt: $700 fuel: gas odometer: 82,000 paint color: white title status: clean transmission: automatic type: van more ads by this seller","Offered by: Commercial Auto and Trucks -- (703)330-6926 Commercial Auto and Trucks Mileage: 82000 Condition: Used Engine: 4.3L/V6 Transmission: Automatic 8-Speed Drivetrain: RWD Fuel: Gasoline Exterior Color: White Interior Color: Gray Stock#: 654 WE DO IN HOUSE FINANCING *** BUY HERE PAY HERE ***, ASK FOR DETAILS (703)330-6926. WE ARE LOCATED AT 7216 CENTREVILLE RD MANASSAS VA 20111. OPEN 7 DAYS A WEEK. THERE IS NOT ANY FREIGHT OR DESTINATION CHARGES ON ANY VEHICLE. BUY OR SELL YOUR VEHICLE HERE. ALL VEHICLES ARE VIRGINIA INSPECTED AND COMES WITH 3 MONTHS /3000 MILES NATIONWIDE POWER TRAIN WARRANTY WITH FULL PURCHASE PRICE ON CASH DEALS ONLY (CERTAIN VEHICLES ARE EXCLUDED, CALL FOR DETAILS). WE ARE OPEN MON. - SAT. 10:00AM - 7:00PM AND SUN. 11:00AM - 5:00PM. AUTOCHECK REPORT IS AVAILABLE ON EVERY VEHICLE AT NO CHARGE. PRICE EXCLUDES PROCESSING FEE OF $699. *** COMMERCIAL AUTO AND TRUCKS IS NOT RESPONSIBLE FOR ANY MISPRINT ON FEATURES, EQUIPMENT, PRICE, AND ETC.*** VISIT COMMERCIAL AUTO AND TRUCKS ONLINE AT WWW.CATVA1.COM TO SEE MORE PICTURES OF THIS VEHICLE OR CALL US AT (703)330-6926 TODAY TO SCHEDULE YOUR TEST DRIVE. COMMERCIAL AUTO AND TRUCKS 7216 CENTREVILLE RD. MANASSAS VA 20111 (703)330-6926 WWW.CATVA1.COM",1,2018 Chevrolet Express 2500 Cargo Van_item_9703_0.jpg
item_1785,2011 Chevrolet Express 2500 Extended Cargo Van w/ 1WT,"$24,995$650/mo",https://washingtondc.craigslist.org/nva/ctd/d/manassas-2011-chevrolet-express-2500/7822692583.html,"7216 CENTREVILLE RD. 2011 Chevrolet Express 2500 Cargo EXT VIN: 1GCWGGCA5B1157278 condition: excellent cylinders: 8 cylinders drive: rwd est. monthly pmt: $650 fuel: gas odometer: 37,000 paint color: blue title status: clean transmission: automatic type: van more ads by this seller","Offered by: Commercial Auto and Trucks -- (703)330-6926 Commercial Auto and Trucks Mileage: 37000 Condition: Used Engine: 4.8L/V8 Transmission: Automatic 6-Speed Drivetrain: RWD Fuel: Gasoline Exterior Color: Blue Interior Color: Gray Stock#: 980 WE DO IN HOUSE FINANCING *** BUY HERE PAY HERE ***, ASK FOR DETAILS (703)330-6926. WE ARE LOCATED AT 7216 CENTREVILLE RD MANASSAS VA 20111. OPEN 7 DAYS A WEEK. THERE IS NOT ANY FREIGHT OR DESTINATION CHARGES ON ANY VEHICLE. BUY OR SELL YOUR VEHICLE HERE. ALL VEHICLES ARE VIRGINIA INSPECTED AND COMES WITH 3 MONTHS /3000 MILES NATIONWIDE POWER TRAIN WARRANTY WITH FULL PURCHASE PRICE ON CASH DEALS ONLY (CERTAIN VEHICLES ARE EXCLUDED, CALL FOR DETAILS). WE ARE OPEN MON. - SAT. 10:00AM - 7:00PM AND SUN. 11:00AM - 5:00PM. AUTOCHECK REPORT IS AVAILABLE ON EVERY VEHICLE AT NO CHARGE. PRICE EXCLUDES PROCESSING FEE OF $699. *** COMMERCIAL AUTO AND TRUCKS IS NOT RESPONSIBLE FOR ANY MISPRINT ON FEATURES, EQUIPMENT, PRICE, AND ETC.*** VISIT COMMERCIAL AUTO AND TRUCKS ONLINE AT WWW.CATVA1.COM TO SEE MORE PICTURES OF THIS VEHICLE OR CALL US AT (703)330-6926 TODAY TO SCHEDULE YOUR TEST DRIVE. COMMERCIAL AUTO AND TRUCKS 7216 CENTREVILLE RD. MANASSAS VA 20111 (703)330-6926 WWW.CATVA1.COM",1,2011 Chevrolet Express 2500 Extended Cargo Van w 1_item_1785_0.jpg
item_1391,2020 Chevrolet Traverse LT Sport Utility 4D,"$18,499",https://washingtondc.craigslist.org/nva/ctd/d/manassas-2020-chevrolet-traverse-lt/7822691255.html,"2020 Chevrolet Traverse LT VIN: 1GNEVGKW1LJ150674 condition: good cylinders: 6 cylinders drive: 4wd fuel: gas odometer: 109,697 paint color: brown title status: clean transmission: automatic type: SUV more ads by this seller","♔ ♛ ♔ ♛ ♔ ♛ ♔ ♛ ROYAL PIKE MOTORS ♛ ♔ ♛ ♔ ♛ ♔ ♛ ♔ ✅ Prime & Subprime Lending Available! ✅ We Finance Everyone! ✅ TONS OF LENDERS - We offer GUARANTEED APPROVAL FOR EVERYONE!!! ✅ BAD CREDIT, NO CREDIT, REPOS, BANKRUPTCY, WE GOT YOU COVERED. ✅ AS LONG AS YOU HAVE A JOB = YOU GOT A CAR WITH US!! 2020 Chevrolet Traverse LT AWD 4 Brand New Tires Low price 8 Seater Great Conditions Clean Carfax and title, no accident, always owned in Virginia , V6 3.6 Liter Automatic Cloth seats, Power Seat, Heated Seats, Remote key fob, Remote Starter, Alarm security system, CD Player, Premium Sound system, 20 Inch Wheels, New VA inspection, Great Mechanical Conditions, Drives Very smooth LT LOADED WITH: Power Door Locks, Air Conditioning, Dual Air Bags, Power Steering, Heated Seats, Roof Rack, Cruise Control, Air Conditioning, Rear Premium Wheels, Side Air Bags, Bose Surround Sound, Towing Pkg, Daytime Running Lights, Power Seat, AM/FM Stereo, Rear Park Assist, Tilt & Telescoping Wheel, F&R Head Curtain Air Bags, Rear Spoiler, Power Liftgate Release, Traction Control, Hit the Road Pkg, Keyless Entry, CD/MP3 (Single Disc), SiriusXM Satellite, StabiliTrak, Third Row Seat, Fog Lights, Backup Camera, Power Windows, Navigation System, Keyless Start, 8-Passenger Seating, ABS (4-Wheel), Bluetooth Wireless, OnStar more.. 📲CALL: 540-692-9345 TO GET THE BEST PRICE! Phone: (540) 692-9345 Website: www.Royalpikemotors.com Address: 411 North Commerce Ave, Front Royal, VA 22630 STORE HOURS MON - SAT: 9:00 AM To 6:00PM 👉 To Fill a Credit Application copy and paste this link: Royalpikemotors.com/securecreditapp DISCLAIMER ROYAL PIKE MOTORS will never sell, share, or spam your mobile number. EXTENDED WARRANTY AVAILABLE UP TO 4 YEARS. PAYMENTS AND DOWNPAYMENT SUBJECT TO CREDIT APPROVAL. CONTACT DEALER FOR MORE INFO. These set prices are based on a one time payment in full with your own bank check, cashier check, credit card or cash. The down payment may vary depending on the qualified customer. Annual Percentage Rate (APR) will vary per customer qualification. Deposits and/or down payment for our cars to hold for more than 48 hours is non-refundable. There's a one time processing fee of $499.00 plus tags, tax, title. Some fees and conditions may apply for dealer arranged financing. Price does not include registration for DMV taxes, tags, title or $499.00 processing fee. All advertised prices exclude government fees and taxes, any finance charges, any dealer document preparation charge, and any emission testing charge. Vehicle availability is not guaranteed and subject to prior sale. All vehicle details advertised are true to our best knowledge, but not guaranteed. It is the customer's sole responsibility to verify the existence and condition of any equipment listed. The dealership is not responsible for misprints on prices or equipment. It is the customer's sole responsibility to verify the accuracy of the prices with the dealer. Pricing are subject to change without notice. Any advertised down, monthly, bi-weekly, and weekly payments are estimated examples and / or approximate payments only and subject to credit check and approvals.",1,2020 Chevrolet Traverse LT Sport Utility 4D_item_1391_0.jpg
item_8413,2018 Ford Focus SE Hatchback 4Doors Automatic Low Mileage & Price,"$9,200",https://washingtondc.craigslist.org/nva/ctd/d/manassas-2018-ford-focus-se-hatchback/7822690833.html,"2018 Ford Focus SE VIN: 1FADP3K20JL237106 condition: excellent cylinders: 4 cylinders drive: fwd fuel: gas odometer: 88,486 title status: clean transmission: automatic type: hatchback more ads by this seller","♔ ♛ ♔ ♛ ♔ ♛ ♔ ♛ ROYAL PIKE MOTORS ♛ ♔ ♛ ♔ ♛ ♔ ♛ ♔ ✅ Prime & Subprime Lending Available! ✅ We Finance Everyone! ✅ TONS OF LENDERS - We offer GUARANTEED APPROVAL FOR EVERYONE!!! ✅ BAD CREDIT, NO CREDIT, REPOS, BANKRUPTCY, WE GOT YOU COVERED. ✅ AS LONG AS YOU HAVE A JOB = YOU GOT A CAR WITH US!! 2018 Ford Focus SE Hatchback 4Doors Automatic Low Mileage & Price Automatic 6-Spd Powershift, 4-Cyl, PZEV, 2.0 Liter Fuel Efficient UP TO 40 MPG ! Gold Color, Beige Interior, Remote key fob, Power Trunk Release, Original floormates CD Player, Premium Sound System, Power windows, Power door locks, Back up Camera 4 LIKE NEW TIRES, New VA inspection, Runs very smooth SPECIAL Edition Loaded with: Power Door Locks, Air Conditioning, CD/MP3 (Single Disc), Dual Air Bags, Power Steering, SYNC, Cruise Control, Premium Wheels, Side Air Bags, Premium Sound, Daytime Running Lights, AM/FM Stereo, Tilt & Telescoping Wheel, F&R Head Curtain Air Bags, Anti-Theft System, Rear Spoiler, Hill Start Assist, Knee Air Bags, Traction Control, Keyless Entry, SiriusXM Satellite, AdvanceTrac, Backup Camera, Power Windows, ABS (4-Wheel), Bluetooth Wireless, and more... 📲CALL: 540-692-9345 TO GET THE BEST PRICE! Phone: (540) 692-9345 Website: www.Royalpikemotors.com Address: 411 North Commerce Ave, Front Royal, VA 22630 STORE HOURS MON - SAT: 9:00 AM To 6:00PM 👉 To Fill a Credit Application copy and paste this link: Royalpikemotors.com/securecreditapp DISCLAIMER ROYAL PIKE MOTORS will never sell, share, or spam your mobile number. EXTENDED WARRANTY AVAILABLE UP TO 4 YEARS. PAYMENTS AND DOWNPAYMENT SUBJECT TO CREDIT APPROVAL. CONTACT DEALER FOR MORE INFO. These set prices are based on a one time payment in full with your own bank check, cashier check, credit card or cash. The down payment may vary depending on the qualified customer. Annual Percentage Rate (APR) will vary per customer qualification. Deposits and/or down payments for our cars to hold for more than 48 hours is non-refundable. There's a one time processing fee of $399.00 plus tags, tax, title. Some fees and conditions may apply for dealer arranged financing. Price does not include registration for DMV taxes, tags, title or $399.00 processing fee. All advertised prices exclude government fees and taxes, any finance charges, any dealer document preparation charge, and any emission testing charge. Vehicle availability is not guaranteed and subject to prior sale. All vehicle details advertised are true to our best knowledge, but not guaranteed. It is the customer's sole responsibility to verify the existence and condition of any equipment listed. The dealership is not responsible for misprints on prices or equipment. It is the customer's sole responsibility to verify the accuracy of the prices with the dealer. Pricing are subject to change without notice. Any advertised down, monthly, bi-weekly, and weekly payments are estimated examples and / or approximate payments only and subject to credit check and approvals.",1,2018 Ford Focus SE Hatchback 4Doors Automatic Low _item_8413_0.jpg
item_6171,Nissan Sentra SV 2016,"$8,000",https://washingtondc.craigslist.org/doc/cto/d/alexandria-nissan-sentra-sv-2016/7822687479.html,"2016 nissan sentra condition: excellent cylinders: 4 cylinders drive: fwd fuel: gas odometer: 89,000 paint color: grey title status: clean transmission: automatic type: sedan","It’s in a very good condition, runs smoothly, reason of selling: no place to park and I have another car. Ready for test drive and checkup. Clean title. Price is negotiable",1,Nissan Sentra SV 2016_item_6171_0.jpg
