model_year,make,model,price,title,car_condition,cylinders,fuel,odometer,color,car_status,car_transmission,car_type,body_text,image_name,featured_car,on_sale,pct_off
2023,Mercedes-Benz,E-Class AWD Electric E-450 Coupe,53895,2023 Mercedes-Benz E-Class AWD Electric Eclass E 450 Coupe,Excellent,6,Hybrid,12691,Black,Clean,Automatic,Coupe,",691 body: Coupe trans: Automatic AD ID: 61FCCAA35056A981 engine: 3.0 L 6 Cyl AWD MPG: 21 City /,20852 Description: Panoramic Roof Leather Seats Navigation System Keyless StartThis vehicle and passed our precise inspection process. CarFax Clean CarFax owner. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication.. Vehicles may have unrepaired safety res.",GQ2023Mercedes-BenzE-ClassA199.jpg,,,
2022,Chevrolet,Silverado 1500 Diesel 4x4 4WD Chevy Truck RST Crew Cab,45395,2022 Chevrolet Silverado 1500 Diesel 4x4 4WD Chevy Truck RST Crew Cab,Excellent,6,Diesel,21674,Black,Clean,Automatic,Truck,"Black / Jet Black body: Crew Cab trans: Automatic AD ID: FCE56A981 engine: 3.0L 6 Cyl 4WD MPG: 22 City /,20852 Description: Z71 Off-Road And Protection Package Convenience Package Ii Engine; Duramax 3.0L Turbo-Diesel I6 Z71 Off-Road Package Wheels; 20 X 9 one owner50.8 Cm X 22.9 Cmone owner Painted Aluminum Protection Package Seats; Front Bucket Lpo; All-Weather Floor Liners; 1St And 2Nd Rows Trailer Brake Controller; Integrated Seat; Cloth Rear With Storage Package Tires; 275/60R20Sl All-Terrain; Blackwall Tailgate; Gate Function Power Up/Down Engine Block Keeping Assist Keyless Start Air Filter; Heavy-Duty Alternator; 220 Amps Audio System; Chevrolet Infotainment 3 Premium System Black Bose Sound System; Premium 7-Speaker System Center Console; Floor-Mounted Chevytec Spray-On Bedliner; Black With Chevrolet Logo Emissions; Connecticut; Delaware; Maine; Maryland; Massachusetts; New Jersey; New York; Oregon; Pennsylvania; Rhode Island; Vermont And Washington State Requirements Exhaust; Dual With Polished Outlets Gvwr; $7,200 Lbs. one owner3266 Kgone owner Hill Descent Control Hitch Guidance With Hitch Jet Black; Cloth Seat Trim License Plate Kit; Front Rear Axle; 3.23 Ratio Rst Preferred Equipment Group Shifter; Electronic Transmission Range Selector Skid Plates Tire; Spare 255/80R17Sl All-Season; Blackwall Trailering App Transfer Case; Two-Speed Transmission; 10-Speed Automatic Universal Home Remote Usb Ports; 2; Charge/Data Ports Inside Center Console Wheelhouse Liners; Rear Window; Power; Rear Sliding Wireless Charging Not Equipped With Steering Column Lock; See Dealer For Details. This vehicle and passed our precise inspection process. Clean CarFax, one owner. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication.. Vehicles may have unrepaired safety res.",BY2022ChevroletSilverado15077.jpg,,,
2002,Camaro,SS,25000,2002 Camaro SS,Good,8,Gas,27175,Black,Clean,Manual,Coupe,"is a 2002 Camaro SS slp 35th anniversary with 27,175 original miles. The Camaro has approximately $10k of modifications into the engine provided on request via build sheet. The motor has a set of TrickFlo heads, a btr cam, upgraded clutch, Fast manifold, upgraded ;Fuel rails, injectors, and ;Fuel pump and more. All of the work was professionally done. Includes the original window sticker when the vehicle was purchased from the Chevy dealers in 02. The vehicle has never been in an accident and has the original paint. The paint is good however, it is not perfect due to rock chips and age. The has been stored in a garage. AC.",DA2002CamaroSSZYXWVUTSRQPON105.jpg,,,
2023,BMW,X5 M AWD SUV,73995,2023 BMW X5 M AWD SUV,Excellent,8,Gas,43097,Black,Clean,Automatic,SUV,"Black Sapphire Metallic / Black body: SUV trans: Automatic AD ID: FCE56A981 engine: 4.4 L 8 Cyl AWD MPG: 13 City /,20852 Description: Executive Package Driving Assistance Professional Package Panoramic Roof Wheels: 21 X 10.5 Fr & 22 X 11.5 Rr Bi-Color Leather Seats Navigation Keeping Assist Keyless Start Rear Spoiler Heads-Up Display Cooled Front Seatone ownerSone owner Black Sapphire Metallic Black; Extended Merino Leather Seat Upholstery M Compound Brakes W/Red CalipersThis vehicle and passed our precise inspection process. Clean CarFax owner. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication.. Vehicles may have unrepaired safety res.",BW2023BMWX5MAWDAllWheelDriv75.jpg,,,
2018,Hyundai,Santa Fe Sport AWD,14500,2018 Hyundai Santa Fe Sport AWD,Like New,4,Gas,46000,Black,Clean,Automatic,SUV,",2018 Hyundai Santa Fe Sport 2.4-liter engine. All with all the bells and whistles that were available for the 2018 year. All leather seats with heated and ventilation front seats, panorama sunroof, multiple camera, blind spot detection, economic/normal/sport modes driving selection. 5.0-inch center touchscreen, Bluetooth, usb port, Apple CarPlay and Android Auto HD radio, SiriusXM satellite radio, Blue link connected car system, navigation, automatic headlights, power and heated side mirrors, rear spoiler, hands-free power lift gate, The engine, Transmission and both catalytic converters one ownerMagnaFlowone owner were recently replaced. Engine has 45,000 miles and transmission has 51,000 miles. The catalytic converters have about 1,000 miles Transmission has 9 months left and the two catalytic converters have 5 years left. Paper work on all that have been replaced is available upon request. Body has 183,000 miles. Drives like new. Four new tires. New battery. Leather seats Heated and ventilated seats. Heated steering wheel. Steering wheel controls. Bluetooth and car Apple play. Multiple camera equipped. Parking sensors/front and rear. Panorama sunroof. Blind spot assistance. Automatic folding side mirrors on reverse driving.",BC2018HyundaiSantaFeSportAW55.jpg,,,
2018,Chevy,Cruze Diesel,18000,2018 Chevy Cruze Diesel 50000 mi 9-Gear Automatic Transmission,Like New,4,Diesel,50532,Black,Clean,Automatic,Sedan,"Black, like new, 2018 Turbo Diesel engine, Chevy Cruze. Only 50,000 miles. Rare 9-gear automatic transmission. ;Fuel efficiency up to 55 mi/gal, highway tested. Smart car, saves gas when stopped. Works perfectly. This make and model is the most ;Fuel efficient car on the market short of an electric or hybrid car. Diesel engines will run forever. Chevy stopped making the model after 2019 in favor of the hybrid models, so if you like the combo of the sturdiest engine and high ;Fuel efficiency, this is the best car out there..",EU2018ChevyCruzeDiesel50151.jpg,,,
2020,Land Rover,Range Rover,49990,Range Rover Land Rover Limited Black Edition,Like New,8,Gas,50795,Black,Clean,Automatic,SUV,"This cpo 2020 Westminster Land Rover Range Rover Sports Limited Black Edition HSE P525 swb is a rare, hand-assembled and exotic SUV well-maintained by its original owner with top-grade Royal Purple engine synthetics throughout, high octane gas and is equipped with bumper-to-bumper directly from Range Rover. With over 612 throttling horsepower unleashed through advanced and most superior official upgrades like K&N cold air intakes, superchargers, Remus exhausts, Fox shocks, resistance and rim protection aramid/kevlar wall tires, and height-adjustable air suspension system, complemented by Brembo brakes and lavish all-black Alcantara leather interior and perforated full grained cordovan leather and ergonomic seats with rear reclining seats package, this vehicle is engineered for those who demand both luxurious and sporty excellence. With only 50,795 pristine miles, fully heated, ventilated, cooling, and massaging seats with a sleek black aesthetic inside and out, and a and exclusive Rolls Royce interior assembly touches, this is not just a car but a lifestyle. Act now to secure this high-quality, head-turning icon and automobile sporty sophistication before its gone!",AWRangeRoverLandRoverLimite49.jpg,,,
2020,Range,Rover Land Rover Limited Black Edition,49990,2020 Range Rover Land Rover Limited Black Edition,Like New,8,Gas,50795,Black,Clean,Automatic,SUV,"This cpo 2020 Westminster Land Rover Range Rover Sports Limited Black Edition HSE P525 swb is a rare, hand-assembled and exotic SUV well-maintained by its original owner with top-grade Royal Purple engine synthetics throughout, high octane gas and is equipped with bumper-to-bumper directly from Range Rover. With over 612 throttling horsepower unleashed through advanced and most superior official upgrades like K&N cold air intakes, superchargers, Remus exhausts, Fox shocks, resistance and rim protection aramid/kevlar wall tires, and height-adjustable air suspension system, complemented by Brembo brakes and lavish all-black Alcantara leather interior and perforated full grained cordovan leather and ergonomic seats with rear reclining seats package, this vehicle is engineered for those who demand both luxurious and sporty excellence. With only 50,795 pristine miles, fully heated, ventilated, cooling, and massaging seats with a sleek black aesthetic inside and out, and a and exclusive Rolls Royce interior assembly touches, this is not just a car but a lifestyle. Act now to secure this high-quality, head-turning icon and automobile sporty sophistication before its gone! Further details and media of the vehicle will be provided to  upon request only.",QQRangeRoverLandRoverLimite459.jpg,,,
2010,Mercedes-Benz,S550 4MATIC AWD,14999,2010 Mercedes-Benz S550 4MATIC AWD DVD Low Miles,Like New,8,Gas,61000,Black,Clean,Automatic,Sedan,Please visit our showroom or call for questions or to see the vehicle.[Equipment / Accessories] - Air Conditioning - Power Windows - Power Locks - Power Steering - Tilt Wheel - AM/FM CD/MP3 - Satellite - AM/FM CD/DVD - Immobilizer - Keyless Entry - Alarm - Daytime Running Lights - Dual Front Airbags - Side Airbags - Head Airbags - Rear Head Airbags - Active Seatbelts - All Wheel ABS - Power Sun/Moon Roof AWD Active Head Restraints Active Suspension Adaptive Headlights Adjustable Lumbar Support Adjustable Suspension Air Suspension Alloy Shift Knob Alloy Wheels Anti-Theft System Approach Lights Auto-dimming Rearview Mirror Automatic Climate Control Bluetooth Braking Assist Chrome Grille Connected Car Cooled Seats Crash Sensors Cruise Control Curtain Airbags Driver Assistance Package Dual-Zone Climate Control Electronic Braking System Electronic Traction Control Fog Lights Front Bucket Seats Headlight Cleaners Heated Seats Heated Side Mirrors High-Intensity Headlights Leather Seats Leather Shift Knob Leather Steering Wheel Memorized Seat Settings Memory Card Slot Moonroof / Sunroof Navigation System Paddle Shifter Power Adjustable Headrest Power Seats Premium Sound System Radio Data System Rear Headrests Satellite Radio Self Leveling Suspension Self-leveling Headlights Side Airbags Stability Control Steering Wheel Mounted Controls Tire Pressure Monitoring System Turn Signal Mirrors Video Monitor Voice Activated Commands Wood Steering Wheel,DZ2010Mercedes-BenzS5504MAT130.jpg,,,
2016,Mercedes,Benz Gle 350,20800,2016 Mercedes Benz Gle 350,Like New,6,Gas,67800,Black,Clean,Automatic,SUV,"2016 Mercedes Benz GLE 350 SUV. Drives like new. Garage kept. Very good tires. Color black and low mileage. Only $6,6000 miles.",BM2016MercedesBenzGle350ZYX65.jpg,,,
